                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0104,                 1.1365,                 1.0843,                0.95406,                0.81431,                0.88646,                0.69934,                0.92717,                0.86907,                 1.0008,               4.55e-06,               4.55e-06,               4.55e-06
                      2,                0.96893,                 1.0651,                 1.0801,                0.92353,                0.87691,                0.92208,                0.73259,                0.90145,                0.82906,                0.98906,             1.3515e-05,             1.3515e-05,             1.3515e-05
                      3,                0.89161,                 0.9023,                 1.0598,                0.96288,                0.87496,                0.92401,                0.73995,                0.85212,                0.77458,                0.96596,               2.23e-05,               2.23e-05,               2.23e-05
                      4,                 1.0055,                 1.0264,                 1.0682,                0.97092,                0.91215,                0.92921,                0.75302,                0.80417,                0.72814,                0.94736,             3.0904e-05,             3.0904e-05,             3.0904e-05
                      5,                0.95893,                 1.0208,                 1.0845,                0.97191,                0.89986,                0.93731,                0.77987,                0.75729,                0.69073,                0.93067,             3.9328e-05,             3.9328e-05,             3.9328e-05
                      6,                0.90351,                  1.039,                 1.0861,                 0.9498,                0.90833,                 0.9487,                  0.794,                0.73115,                0.65828,                0.92335,             4.7573e-05,             4.7573e-05,             4.7573e-05
                      7,                0.83427,                0.96804,                 1.0305,                0.95718,                0.91395,                0.95929,                0.80477,                0.71538,                0.63079,                0.91806,             5.5636e-05,             5.5636e-05,             5.5636e-05
                      8,                0.97962,                 1.0287,                 1.1163,                 0.9645,                0.91667,                0.95929,                0.80077,                0.70556,                0.61207,                0.91622,              6.352e-05,              6.352e-05,              6.352e-05
                      9,                0.93235,                 1.0148,                  1.094,                0.96811,                0.91667,                0.95333,                0.79822,                0.69261,                0.59115,                0.91329,             7.1224e-05,             7.1224e-05,             7.1224e-05
                     10,                0.91855,                0.96675,                 1.0977,                0.97321,                0.91667,                0.96722,                0.80616,                0.67939,                0.58126,                0.91023,             7.8747e-05,             7.8747e-05,             7.8747e-05
                     11,                0.96149,                0.95268,                 1.0824,                 0.9751,                0.91667,                0.96722,                0.82419,                0.67662,                0.56809,                0.90822,             8.6091e-05,             8.6091e-05,             8.6091e-05
                     12,                0.99099,                 1.0666,                 1.1159,                0.97649,                0.91667,                0.97833,                0.83284,                0.67838,                0.56783,                 0.9088,             9.3254e-05,             9.3254e-05,             9.3254e-05
                     13,                0.81018,                0.82656,                 1.0576,                0.97835,                0.91534,                0.97833,                0.81663,                0.67874,                0.56575,                0.90839,             0.00010024,             0.00010024,             0.00010024
