                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1546,                 5.2637,                   2.79,                      0,                      0,                      0,                      0,                 2.9705,                 5.2485,                 3.0588,               4.55e-06,               4.55e-06,               4.55e-06
                      2,                 2.7397,                 5.1552,                 2.6712,                      0,                      0,                      0,                      0,                 3.0557,                 5.1631,                 3.0817,             1.3596e-05,             1.3596e-05,             1.3596e-05
                      3,                 2.9375,                 5.2421,                 2.7702,                      0,                      0,                      0,                      0,                 3.0386,                 5.1453,                 3.0336,              2.257e-05,              2.257e-05,              2.257e-05
                      4,                 2.8554,                 5.2453,                 2.7732,                      0,                      0,                      0,                      0,                 2.7694,                 5.1848,                 2.9459,             3.1472e-05,             3.1472e-05,             3.1472e-05
                      5,                 3.1211,                 5.1919,                 2.8471,                      0,                      0,                      0,                      0,                 2.6601,                  5.184,                 2.9265,             4.0301e-05,             4.0301e-05,             4.0301e-05
                      6,                 2.7238,                 5.2148,                 2.7168,                      0,                      0,                      0,                      0,                 2.6567,                  5.151,                 2.9355,             4.9059e-05,             4.9059e-05,             4.9059e-05
                      7,                 2.8664,                 5.1766,                 2.6621,                      0,                      0,                      0,                      0,                 2.6238,                 5.1566,                 2.9638,             5.7745e-05,             5.7745e-05,             5.7745e-05
                      8,                 2.9484,                 5.0942,                 2.6301,                      0,                      0,                      0,                      0,                 2.5811,                 5.1579,                 2.9617,             6.6358e-05,             6.6358e-05,             6.6358e-05
                      9,                 2.8223,                 5.0321,                 2.5934,                      0,                      0,                      0,                      0,                 2.5499,                 5.1623,                  2.951,               7.49e-05,               7.49e-05,               7.49e-05
                     10,                 2.8096,                 4.9424,                  2.609,                      0,                      0,                      0,                      0,                 2.5151,                 5.1534,                 2.9402,             8.3369e-05,             8.3369e-05,             8.3369e-05
                     11,                   2.61,                 4.9165,                 2.5432,                      0,                      0,                      0,                      0,                 2.4824,                 5.1477,                 2.9331,             9.1766e-05,             9.1766e-05,             9.1766e-05
                     12,                 2.6808,                 4.7969,                 2.4739,                      0,                      0,                      0,                      0,                 2.4697,                 5.1451,                 2.9246,             0.00010009,             0.00010009,             0.00010009
                     13,                 2.6021,                 4.6155,                 2.4583,                      0,                      0,                      0,                      0,                 2.4309,                 5.1411,                 2.9134,             0.00010834,             0.00010834,             0.00010834
                     14,                 2.5317,                 4.6022,                 2.4505,                      0,                      0,                      0,                      0,                 2.4034,                  5.129,                 2.9061,             0.00011653,             0.00011653,             0.00011653
                     15,                 2.5134,                  4.486,                 2.3299,                      0,                      0,                      0,                      0,                  2.378,                 5.1088,                 2.8994,             0.00012463,             0.00012463,             0.00012463
                     16,                 2.3705,                 4.4095,                 2.4024,                      0,                      0,                      0,                      0,                 2.3578,                 5.0859,                 2.8831,             0.00013267,             0.00013267,             0.00013267
                     17,                 2.5646,                 4.4516,                 2.3024,                      0,                      0,                      0,                      0,                 2.3424,                 5.0602,                  2.871,             0.00014064,             0.00014064,             0.00014064
                     18,                 2.5716,                 4.4155,                 2.3575,                      0,                      0,                      0,                      0,                  2.313,                 5.0194,                 2.8381,             0.00014853,             0.00014853,             0.00014853
                     19,                  2.426,                 4.2166,                 2.3285,                      0,                      0,                      0,                      0,                 2.2647,                 4.9816,                  2.799,             0.00015635,             0.00015635,             0.00015635
                     20,                 2.4301,                 4.1681,                 2.2863,                      0,                      0,                      0,                      0,                 2.2173,                 4.9333,                 2.7565,              0.0001641,              0.0001641,              0.0001641
                     21,                 2.4417,                 3.8729,                 2.2744,                      0,                      0,                      0,                      0,                 2.1815,                 4.8672,                 2.7097,             0.00017178,             0.00017178,             0.00017178
                     22,                 2.3348,                 3.9197,                 2.3219,                0.16667,                0.06667,                 0.1325,                0.08083,                 2.1644,                 4.7837,                 2.6646,             0.00017938,             0.00017938,             0.00017938
                     23,                  2.408,                 3.8493,                 2.2153,                0.11111,                    0.1,                0.11873,                0.07392,                  2.146,                   4.69,                 2.6166,             0.00018691,             0.00018691,             0.00018691
                     24,                 2.3495,                 3.5558,                 2.1463,                0.09804,                0.16667,                0.12961,                0.07303,                 2.0694,                 4.5914,                 2.5438,             0.00019437,             0.00019437,             0.00019437
                     25,                 2.0101,                 3.3265,                 2.0288,                0.08333,                    0.2,                0.13078,                0.07891,                 2.0125,                 4.4816,                 2.4881,             0.00020176,             0.00020176,             0.00020176
                     26,                 2.0101,                 3.0552,                 2.0476,                0.07527,                0.23333,                0.17501,                0.08976,                 1.9736,                 4.3634,                 2.4361,             0.00020908,             0.00020908,             0.00020908
                     27,                 2.1184,                 2.7403,                 1.9862,                0.07918,                   0.35,                0.21745,                0.11521,                 1.9296,                 4.2062,                 2.3651,             0.00021632,             0.00021632,             0.00021632
                     28,                 2.3065,                 3.3883,                 2.0853,                0.06832,                   0.35,                0.23736,                0.12551,                  1.902,                 4.0713,                 2.3149,             0.00022349,             0.00022349,             0.00022349
                     29,                 2.0805,                 2.9599,                 1.9575,                 0.0933,                0.48333,                0.25722,                0.13278,                 1.8351,                 3.9384,                 2.2433,             0.00023059,             0.00023059,             0.00023059
                     30,                 1.9953,                 2.8102,                 1.8362,                0.09987,                0.58333,                0.34078,                0.15512,                  1.794,                 3.7911,                 2.1787,             0.00023762,             0.00023762,             0.00023762
                     31,                 2.0797,                 3.0333,                 1.8583,                0.09711,                0.68333,                0.34937,                0.17844,                 1.7613,                 3.6604,                 2.1033,             0.00024458,             0.00024458,             0.00024458
                     32,                 1.9598,                 2.6378,                 1.7954,                0.09609,                0.71667,                0.36326,                0.21458,                  1.708,                 3.5198,                 2.0228,             0.00025146,             0.00025146,             0.00025146
                     33,                 2.0276,                    2.9,                  1.846,                0.09364,                0.71667,                0.37755,                0.22382,                 1.6458,                 3.3873,                 1.9315,             0.00025827,             0.00025827,             0.00025827
                     34,                 1.8315,                 2.4935,                 1.7541,                0.09419,                0.83333,                0.40944,                0.25183,                 1.5758,                 3.2524,                 1.8336,             0.00026501,             0.00026501,             0.00026501
                     35,                 1.7675,                 2.6431,                 1.6943,                0.08823,                0.91667,                0.42863,                0.26241,                 1.5095,                 3.1263,                  1.759,             0.00027168,             0.00027168,             0.00027168
                     36,                 1.9112,                 2.5768,                 1.7028,                0.27587,                0.61092,                0.45118,                0.29189,                 1.4272,                 2.9336,                 1.6748,             0.00027828,             0.00027828,             0.00027828
                     37,                 1.7382,                   2.22,                 1.6822,                0.27587,                0.61092,                0.45118,                0.29189,                 1.4272,                 2.9336,                 1.6748,              0.0002848,              0.0002848,              0.0002848
                     38,                 1.5159,                 2.2363,                 1.5727,                0.70075,                0.30906,                0.53628,                0.32699,                  1.353,                 2.7341,                 1.5959,             0.00029125,             0.00029125,             0.00029125
                     39,                  1.818,                 2.4182,                 1.7378,                0.70509,                0.51667,                0.53053,                0.34149,                 1.3103,                 2.5211,                 1.5452,             0.00029763,             0.00029763,             0.00029763
                     40,                 1.6551,                 2.1616,                 1.6489,                0.70509,                0.51667,                0.53053,                0.34149,                 1.3103,                 2.5211,                 1.5452,             0.00030394,             0.00030394,             0.00030394
                     41,                 1.5938,                 2.1145,                 1.6349,                0.60722,                0.53634,                 0.5487,                0.36019,                 1.2743,                 2.3085,                 1.4958,             0.00031017,             0.00031017,             0.00031017
