                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5425,                 2.9898,                 1.6593,                0.45331,                0.64409,                0.42654,                0.19737,                 1.6239,                 3.5505,                 1.8684,             0.00020827,             0.00020827,             0.00020827
                     36,                 1.6152,                 3.2456,                  1.684,                0.46458,                0.33927,                0.45576,                 0.2123,                 1.5863,                 3.3656,                 1.7706,             0.00021111,             0.00021111,             0.00021111
                     37,                 1.4142,                 2.8761,                 1.5342,                0.46458,                0.33927,                0.45576,                 0.2123,                 1.5863,                 3.3656,                 1.7706,             0.00021377,             0.00021377,             0.00021377
                     38,                 1.4551,                 2.7916,                 1.5288,                0.53668,                0.50817,                0.47564,                0.22931,                 1.5466,                 3.2029,                 1.7059,             0.00021625,             0.00021625,             0.00021625
                     39,                 1.4683,                 2.8898,                 1.5511,                0.55022,                0.53333,                0.49696,                0.25793,                 1.5357,                 3.0209,                 1.6555,             0.00021855,             0.00021855,             0.00021855
                     40,                 1.7707,                 3.4034,                 1.7036,                0.55022,                0.53333,                0.49696,                0.25793,                 1.5357,                 3.0209,                 1.6555,             0.00022067,             0.00022067,             0.00022067
                     41,                 1.4622,                 2.6051,                 1.4828,                0.62191,                0.53111,                0.58455,                0.31308,                 1.4757,                  2.888,                 1.6002,              0.0002226,              0.0002226,              0.0002226
                     42,                 1.4964,                 2.7375,                 1.5359,                0.67913,                0.55951,                0.68746,                0.38773,                 1.4235,                 2.7489,                 1.5573,             0.00022436,             0.00022436,             0.00022436
                     43,                 1.5011,                   2.61,                 1.4605,                0.67913,                0.55951,                0.68746,                0.38773,                 1.4235,                 2.7489,                 1.5573,             0.00022594,             0.00022594,             0.00022594
                     44,                 1.4778,                 2.8027,                 1.5611,                0.76404,                   0.65,                0.75376,                0.44105,                 1.3627,                 2.5656,                 1.4983,             0.00022734,             0.00022734,             0.00022734
                     45,                 1.4452,                  2.976,                 1.5385,                0.76404,                   0.65,                0.75376,                0.44105,                 1.3627,                 2.5656,                 1.4983,             0.00022855,             0.00022855,             0.00022855
                     46,                 1.3555,                 2.5904,                 1.3811,                0.81608,                0.75183,                0.78723,                0.48064,                 1.2744,                 2.4007,                 1.4362,             0.00022959,             0.00022959,             0.00022959
                     47,                 1.2238,                 2.3577,                 1.3732,                0.81608,                0.75183,                0.78723,                0.48064,                 1.2744,                 2.4007,                 1.4362,             0.00023045,             0.00023045,             0.00023045
                     48,                 1.3133,                 2.5915,                 1.4484,                 0.8246,                0.82278,                0.83165,                0.55143,                 1.1777,                 2.2652,                 1.3875,             0.00023112,             0.00023112,             0.00023112
                     49,                 1.3153,                 2.4738,                 1.4794,                 0.8246,                0.82278,                0.83165,                0.55143,                 1.1777,                 2.2652,                 1.3875,             0.00023162,             0.00023162,             0.00023162
                     50,                 1.2258,                 2.2191,                 1.3486,                0.83438,                0.85878,                0.87121,                0.57833,                 1.1257,                   2.12,                 1.3549,             0.00023194,             0.00023194,             0.00023194
                     51,                  1.215,                 2.3571,                 1.3934,                0.83438,                0.85878,                0.87121,                0.57833,                 1.1257,                   2.12,                 1.3549,             0.00022978,             0.00022978,             0.00022978
                     52,                 1.2154,                 2.3506,                 1.3622,                0.89686,                0.86986,                0.90014,                0.63258,                 1.0624,                 1.9676,                 1.3123,             0.00022978,             0.00022978,             0.00022978
                     53,                 1.3261,                 2.6368,                 1.4903,                0.89686,                0.86986,                0.90014,                0.63258,                 1.0624,                 1.9676,                 1.3123,             0.00022527,             0.00022527,             0.00022527
                     54,                 1.1016,                 2.3833,                 1.3557,                 0.9296,                0.88333,                0.93548,                0.67121,                 1.0096,                 1.8037,                 1.2641,             0.00022077,             0.00022077,             0.00022077
                     55,                0.98173,                 1.9702,                  1.215,                 0.9296,                0.88333,                0.93548,                0.67121,                 1.0096,                 1.8037,                 1.2641,             0.00021626,             0.00021626,             0.00021626
                     56,                 1.3052,                 2.3772,                 1.3812,                0.94714,                 0.9333,                 0.9825,                0.71851,                0.98101,                 1.6663,                 1.2221,             0.00021176,             0.00021176,             0.00021176
                     57,                 1.2749,                 2.1166,                 1.3452,                0.94714,                 0.9333,                 0.9825,                0.71851,                0.98101,                 1.6663,                 1.2221,             0.00020725,             0.00020725,             0.00020725
                     58,                 1.1719,                 1.9243,                 1.3078,                0.97668,                0.95865,                0.99197,                0.73949,                0.94702,                 1.5866,                 1.1816,             0.00020275,             0.00020275,             0.00020275
                     59,                 1.2317,                  2.142,                 1.2589,                0.97668,                0.95865,                0.99197,                0.73949,                0.94702,                 1.5866,                 1.1816,             0.00019824,             0.00019824,             0.00019824
                     60,                 1.2254,                 2.1886,                 1.3527,                 0.9627,                0.94933,                  0.995,                0.75722,                0.92018,                 1.5481,                 1.1481,             0.00019374,             0.00019374,             0.00019374
                     61,                 1.2642,                 2.0907,                 1.3727,                 0.9627,                0.94933,                  0.995,                0.75722,                0.92018,                 1.5481,                 1.1481,             0.00018923,             0.00018923,             0.00018923
                     62,                 1.2264,                 2.2745,                 1.3615,                      1,                0.94176,                0.99197,                  0.747,                0.90245,                 1.5455,                 1.1259,             0.00018473,             0.00018473,             0.00018473
                     63,                 1.1971,                 1.9847,                 1.3388,                      1,                0.94176,                0.99197,                  0.747,                0.90245,                 1.5455,                 1.1259,             0.00018023,             0.00018023,             0.00018023
                     64,                 1.0826,                 2.0865,                 1.2424,                0.98065,                0.94697,                0.98944,                0.75674,                0.87938,                 1.5497,                 1.1053,             0.00017572,             0.00017572,             0.00017572
                     65,                  1.101,                 2.0352,                 1.2706,                0.98065,                0.94697,                0.98944,                0.75674,                0.87938,                 1.5497,                 1.1053,             0.00017122,             0.00017122,             0.00017122
                     66,                 1.0176,                  1.919,                 1.2126,                0.97123,                0.94328,                0.98944,                0.77691,                0.84857,                 1.5365,                 1.0884,             0.00016671,             0.00016671,             0.00016671
                     67,                 1.0524,                 1.9953,                 1.2716,                0.97123,                0.94328,                0.98944,                0.77691,                0.84857,                 1.5365,                 1.0884,             0.00016221,             0.00016221,             0.00016221
                     68,                 1.3044,                 2.1108,                 1.3408,                0.95597,                0.94315,                0.99197,                0.79952,                0.81166,                 1.5324,                 1.0728,              0.0001577,              0.0001577,              0.0001577
                     69,                0.99749,                 1.9125,                  1.214,                0.95597,                0.94315,                0.99197,                0.79952,                0.81166,                 1.5324,                 1.0728,              0.0001532,              0.0001532,              0.0001532
                     70,                 1.0997,                 1.9661,                 1.2628,                0.99114,                0.95479,                  0.995,                0.80368,                  0.787,                 1.4492,                 1.0581,             0.00014869,             0.00014869,             0.00014869
                     71,                 1.1228,                 1.8193,                  1.272,                0.99114,                0.95479,                  0.995,                0.80368,                  0.787,                 1.4492,                 1.0581,             0.00014419,             0.00014419,             0.00014419
                     72,                 1.2709,                 2.1909,                 1.3425,                0.98046,                0.94048,                  0.995,                0.79872,                0.78819,                 1.3877,                 1.0512,             0.00013969,             0.00013969,             0.00013969
                     73,                 1.1039,                 1.9991,                 1.2228,                0.98046,                0.94048,                  0.995,                0.79872,                0.78819,                 1.3877,                 1.0512,             0.00013518,             0.00013518,             0.00013518
                     74,                 1.0639,                 1.9636,                 1.2856,                0.95307,                0.95689,                  0.995,                0.80548,                0.77704,                 1.3292,                 1.0438,             0.00013068,             0.00013068,             0.00013068
                     75,                  1.169,                 2.0351,                 1.3346,                0.95307,                0.95689,                  0.995,                0.80548,                0.77704,                 1.3292,                 1.0438,             0.00012617,             0.00012617,             0.00012617
                     76,                 1.0293,                  1.849,                 1.2394,                0.94816,                0.97527,                  0.995,                0.81607,                 0.7709,                 1.2512,                 1.0408,             0.00012167,             0.00012167,             0.00012167
                     77,                 1.1852,                  2.368,                 1.3277,                0.94816,                0.97527,                  0.995,                0.81607,                 0.7709,                 1.2512,                 1.0408,             0.00011716,             0.00011716,             0.00011716
                     78,                 1.0874,                 1.9661,                 1.2608,                 0.9467,                 0.9903,                  0.995,                0.82199,                0.76292,                 1.1751,                 1.0351,             0.00011266,             0.00011266,             0.00011266
                     79,                 1.0216,                 1.6583,                 1.1839,                 0.9467,                 0.9903,                  0.995,                0.82199,                0.76292,                 1.1751,                 1.0351,             0.00010815,             0.00010815,             0.00010815
