                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8799,                 3.0122,                 1.8385,                0.60609,                   0.05,                0.04066,                0.01117,                 2.5668,                 3.7374,                 2.3385,               4.35e-06,               4.35e-06,               4.35e-06
                      2,                 2.0606,                 3.2598,                  1.903,                0.62783,                  0.075,                0.06381,                0.01363,                 2.5344,                 3.6974,                  2.319,             1.2792e-05,             1.2792e-05,             1.2792e-05
                      3,                 1.8905,                 3.3343,                 1.8625,                0.85835,                   0.05,                0.06541,                0.01548,                 2.4939,                 3.6714,                   2.29,             2.0889e-05,             2.0889e-05,             2.0889e-05
                      4,                 1.8425,                 3.0485,                 1.8082,                0.85269,                   0.05,                  0.062,                0.01882,                 2.4684,                 3.5933,                 2.2546,             2.8641e-05,             2.8641e-05,             2.8641e-05
                      5,                 1.9325,                 2.9759,                 1.8377,                0.82529,                   0.05,                   0.06,                 0.0218,                 2.4421,                 3.4555,                 2.2357,             3.6049e-05,             3.6049e-05,             3.6049e-05
                      6,                 1.8846,                 2.9816,                  1.814,                0.28223,                    0.1,                0.08326,                 0.0266,                 2.3636,                  3.338,                 2.1837,             4.3113e-05,             4.3113e-05,             4.3113e-05
                      7,                  1.966,                 3.1657,                 1.8028,                0.32503,                   0.15,                0.10238,                0.03646,                 2.2423,                 3.2112,                 2.1008,             4.9832e-05,             4.9832e-05,             4.9832e-05
                      8,                  1.853,                 2.8095,                 1.7426,                0.33479,                0.17391,                0.14208,                0.05829,                 2.1911,                 3.0916,                 2.0576,             5.6206e-05,             5.6206e-05,             5.6206e-05
                      9,                 1.8246,                 2.9193,                  1.759,                0.98648,                  0.075,                0.18012,                0.08069,                 2.0768,                 2.9116,                 1.9617,             6.2236e-05,             6.2236e-05,             6.2236e-05
                     10,                 1.7201,                 2.9969,                 1.7389,                0.39259,                  0.225,                0.22615,                 0.0961,                 1.9977,                 2.8028,                 1.9072,             6.7922e-05,             6.7922e-05,             6.7922e-05
                     11,                 1.7927,                 2.7865,                   1.74,                0.43908,                0.28841,                 0.2842,                0.12458,                 1.9215,                 2.6836,                 1.8414,             7.3263e-05,             7.3263e-05,             7.3263e-05
                     12,                 1.8789,                 2.9318,                 1.7222,                0.46549,                    0.3,                0.34537,                0.15447,                 1.8958,                 2.6284,                 1.8203,             7.8259e-05,             7.8259e-05,             7.8259e-05
                     13,                 1.9998,                 3.0125,                 1.8433,                0.51632,                0.33725,                0.45466,                0.19587,                 1.8204,                 2.4975,                 1.7805,             8.2911e-05,             8.2911e-05,             8.2911e-05
                     14,                  1.736,                 2.6374,                 1.6856,                 0.5323,                 0.3654,                0.48743,                 0.2325,                 1.7763,                 2.3935,                 1.7651,             8.7218e-05,             8.7218e-05,             8.7218e-05
                     15,                 1.7396,                  2.533,                 1.6974,                0.72143,                0.29843,                0.51068,                0.26957,                 1.7257,                 2.3294,                 1.7541,             9.1181e-05,             9.1181e-05,             9.1181e-05
                     16,                 1.8269,                 2.7602,                 1.7153,                0.55294,                    0.5,                0.53937,                0.29333,                 1.6924,                 2.2622,                 1.7282,               9.48e-05,               9.48e-05,               9.48e-05
                     17,                 1.7415,                 2.6099,                 1.6791,                0.57036,                0.49534,                0.53237,                 0.2984,                 1.6509,                 2.1972,                 1.7012,             9.8073e-05,             9.8073e-05,             9.8073e-05
