                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.084,                 3.4878,                  1.985,                0.20894,                 0.4875,                 0.3285,                0.16089,                 1.7863,                 4.0645,                 2.1623,             9.8089e-05,             9.8089e-05,             9.8089e-05
                     36,                 1.9777,                 3.2803,                 1.9359,                0.15132,                 0.5875,                0.30126,                0.15319,                 1.7746,                 3.9428,                 2.1328,             9.4817e-05,             9.4817e-05,             9.4817e-05
                     37,                 1.9437,                 3.3603,                  1.889,                0.15132,                 0.5875,                0.30126,                0.15319,                 1.7746,                 3.9428,                 2.1328,               9.12e-05,               9.12e-05,               9.12e-05
                     38,                 1.9869,                 3.2905,                 1.9467,                0.10147,                 0.6625,                0.31417,                0.16212,                 1.7638,                 3.8052,                 2.0889,             8.7239e-05,             8.7239e-05,             8.7239e-05
                     39,                 2.1426,                 3.3965,                 1.9977,                0.09003,                 0.6875,                0.33872,                0.17177,                 1.7468,                 3.6796,                 2.0458,             8.2934e-05,             8.2934e-05,             8.2934e-05
                     40,                 2.1167,                 3.2318,                 1.9721,                0.09003,                 0.6875,                0.33872,                0.17177,                 1.7468,                 3.6796,                 2.0458,             7.8283e-05,             7.8283e-05,             7.8283e-05
                     41,                 1.9111,                 3.5961,                 1.8494,                0.07295,                 0.7375,                   0.35,                 0.1688,                 1.7392,                 3.5528,                 2.0126,             7.3289e-05,             7.3289e-05,             7.3289e-05
                     42,                 1.8281,                 3.1959,                 1.8463,                0.06938,                 0.7875,                0.40442,                0.19113,                 1.7418,                  3.435,                 1.9822,              6.795e-05,              6.795e-05,              6.795e-05
                     43,                 2.0286,                 3.3641,                 1.8902,                0.06938,                 0.7875,                0.40442,                0.19113,                 1.7418,                  3.435,                 1.9822,             6.2266e-05,             6.2266e-05,             6.2266e-05
                     44,                 1.9846,                 3.3407,                  1.916,                0.79278,                0.22368,                0.41717,                0.20072,                 1.7153,                 3.3023,                 1.9332,             5.6238e-05,             5.6238e-05,             5.6238e-05
                     45,                 1.7454,                 3.2344,                 1.6907,                 0.7891,                 0.1765,                0.41044,                0.20155,                 1.6851,                 3.1773,                 1.8962,             4.9865e-05,             4.9865e-05,             4.9865e-05
                     46,                  1.799,                 3.3051,                 1.7191,                 0.7891,                 0.1765,                0.41044,                0.20155,                 1.6851,                 3.1773,                 1.8962,             4.3148e-05,             4.3148e-05,             4.3148e-05
                     47,                 1.6977,                 3.2751,                 1.7089,                0.77986,                0.19242,                0.42449,                0.21803,                 1.6601,                 3.0614,                 1.8668,             3.6086e-05,             3.6086e-05,             3.6086e-05
                     48,                 1.8442,                 3.2571,                 1.8569,                0.75882,                0.20703,                0.42148,                0.22151,                 1.6396,                 2.9632,                 1.8449,              2.868e-05,              2.868e-05,              2.868e-05
                     49,                 1.8177,                 3.0626,                 1.7578,                0.75882,                0.20703,                0.42148,                0.22151,                 1.6396,                 2.9632,                 1.8449,             2.0929e-05,             2.0929e-05,             2.0929e-05
                     50,                 1.6338,                 3.1292,                 1.6978,                0.74021,                  0.225,                0.40935,                0.21657,                 1.6279,                 2.8724,                 1.8267,             1.2833e-05,             1.2833e-05,             1.2833e-05
