                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67988,                 2.0568,                0.92408,                0.97782,                0.22452,                0.63862,                0.56334,                0.61821,                 2.7042,                0.85694,             0.00026047,             0.00026047,             0.00026047
                     36,                0.71409,                 2.2366,                0.94569,                 0.9525,                0.35296,                0.72482,                0.64627,                0.59831,                  2.392,                0.85309,             0.00025827,             0.00025827,             0.00025827
                     37,                0.68555,                 2.0507,                0.94329,                0.95378,                0.40597,                0.73972,                0.66277,                0.58798,                 2.2944,                0.84925,             0.00025608,             0.00025608,             0.00025608
                     38,                0.66336,                 2.0857,                0.91204,                0.93168,                0.40473,                 0.7812,                0.70185,                0.56417,                 2.2311,                0.84356,             0.00025388,             0.00025388,             0.00025388
                     39,                0.69786,                 1.9299,                0.92522,                0.92597,                0.39515,                0.74683,                0.67469,                 0.5554,                 2.2434,                0.83922,             0.00025168,             0.00025168,             0.00025168
                     40,                0.67456,                 1.9808,                0.93427,                0.89281,                0.45272,                0.77929,                0.70353,                0.56736,                  2.215,                0.84229,             0.00024948,             0.00024948,             0.00024948
                     41,                0.71154,                 2.1414,                0.91835,                0.89755,                 0.4885,                0.81525,                0.73307,                0.58226,                 2.1124,                0.84978,             0.00024729,             0.00024729,             0.00024729
                     42,                0.72214,                 1.9937,                0.91606,                0.86461,                 0.6228,                0.81236,                0.72459,                0.60568,                 1.9082,                0.86188,             0.00024509,             0.00024509,             0.00024509
                     43,                0.70001,                 2.0006,                0.93017,                0.80005,                0.68509,                0.81885,                0.72948,                0.59216,                 1.8347,                0.85495,             0.00024289,             0.00024289,             0.00024289
                     44,                0.65539,                  1.954,                0.92858,                0.78523,                0.71042,                 0.8489,                0.75205,                 0.5848,                 1.7025,                0.84782,             0.00024069,             0.00024069,             0.00024069
                     45,                0.67312,                 1.8545,                0.91492,                0.75801,                  0.726,                0.86846,                0.77104,                0.58001,                  1.616,                0.85029,             0.00023849,             0.00023849,             0.00023849
                     46,                0.63688,                 1.7701,                0.87988,                0.76356,                0.82628,                0.88406,                0.78371,                0.61053,                 1.4343,                0.86194,              0.0002363,              0.0002363,              0.0002363
                     47,                0.65144,                 1.7784,                0.92039,                0.80727,                0.78778,                0.88601,                0.79722,                0.57648,                 1.3717,                0.84988,              0.0002341,              0.0002341,              0.0002341
                     48,                0.66503,                 1.7456,                0.91962,                0.75766,                0.83403,                0.88635,                 0.8157,                0.51449,                 1.3608,                0.83057,              0.0002319,              0.0002319,              0.0002319
                     49,                0.71124,                 1.8688,                0.94232,                 0.7879,                0.80956,                0.88585,                0.81295,                0.52043,                 1.3759,                0.83041,              0.0002297,              0.0002297,              0.0002297
                     50,                0.58048,                 1.7561,                0.89146,                0.73007,                0.82162,                0.85861,                0.78069,                0.54159,                 1.2637,                 0.8352,             0.00022751,             0.00022751,             0.00022751
                     51,                0.67567,                 1.8703,                0.92091,                0.70561,                0.87501,                0.88192,                0.80032,                0.53446,                 1.1721,                0.83436,             0.00022531,             0.00022531,             0.00022531
                     52,                0.61907,                 1.7709,                0.90128,                0.73546,                 0.8674,                0.89195,                0.81062,                0.53519,                 1.0852,                0.83676,             0.00022311,             0.00022311,             0.00022311
                     53,                0.62912,                 1.6736,                0.90191,                0.72957,                0.82412,                0.89897,                0.81344,                0.54659,                 1.1381,                0.83764,             0.00022091,             0.00022091,             0.00022091
                     54,                0.62293,                 1.5324,                0.92304,                0.82545,                0.80704,                0.88455,                0.79905,                0.54798,                 1.2476,                0.83732,             0.00021871,             0.00021871,             0.00021871
                     55,                0.59413,                 1.6038,                0.88095,                0.77103,                0.83784,                 0.8969,                0.81151,                0.56522,                 1.2115,                0.83957,             0.00021652,             0.00021652,             0.00021652
                     56,                0.63183,                 1.6059,                0.90954,                0.81568,                0.82385,                0.90393,                0.81007,                0.56982,                 1.0952,                0.83929,             0.00021432,             0.00021432,             0.00021432
                     57,                0.65276,                 1.6769,                0.90759,                0.80258,                0.84557,                 0.9091,                0.82165,                0.53921,                 1.0419,                0.83451,             0.00021212,             0.00021212,             0.00021212
                     58,                0.64748,                 1.5347,                0.91295,                 0.7645,                0.83889,                0.92031,                0.83574,                0.52814,                0.93536,                0.83668,             0.00020992,             0.00020992,             0.00020992
                     59,                0.58981,                 1.4997,                0.89972,                0.88292,                0.78697,                0.93125,                0.85185,                0.53697,                0.91852,                0.84286,             0.00020773,             0.00020773,             0.00020773
                     60,                0.64948,                 1.6347,                0.92663,                0.89655,                0.81878,                0.94303,                0.85282,                0.54914,                0.90597,                0.85009,             0.00020553,             0.00020553,             0.00020553
                     61,                0.55076,                 1.5386,                 0.8844,                0.81434,                 0.8832,                0.94431,                0.85039,                0.54605,                0.88672,                0.84852,             0.00020333,             0.00020333,             0.00020333
                     62,                0.55703,                 1.4231,                 0.8669,                0.83814,                0.91233,                0.95072,                 0.8649,                0.50619,                0.87088,                0.82995,             0.00020113,             0.00020113,             0.00020113
                     63,                0.53462,                 1.4599,                0.88051,                0.86852,                0.90765,                0.94945,                0.87424,                 0.4852,                0.84581,                0.82022,             0.00019893,             0.00019893,             0.00019893
                     64,                0.56805,                  1.582,                0.87538,                  0.879,                0.90237,                0.95071,                 0.8826,                0.46805,                0.80019,                0.81031,             0.00019674,             0.00019674,             0.00019674
                     65,                0.64098,                 1.5677,                0.92197,                0.87405,                0.92977,                0.95989,                0.89414,                0.46782,                0.77716,                0.81003,             0.00019454,             0.00019454,             0.00019454
                     66,                0.60189,                 1.4955,                0.88417,                0.91758,                0.89424,                0.96946,                0.90558,                0.46777,                0.74819,                0.81349,             0.00019234,             0.00019234,             0.00019234
                     67,                0.56471,                 1.5157,                0.87429,                0.92637,                 0.8819,                0.96308,                 0.8932,                0.48735,                0.74134,                0.82096,             0.00019014,             0.00019014,             0.00019014
                     68,                0.59587,                 1.4536,                0.89591,                0.86248,                0.91526,                0.96817,                0.88894,                0.48638,                0.71219,                0.82225,             0.00018795,             0.00018795,             0.00018795
                     69,                0.60658,                 1.4171,                 0.9022,                 0.8692,                0.91543,                0.96502,                0.88362,                 0.4651,                 0.7006,                0.81693,             0.00018575,             0.00018575,             0.00018575
                     70,                0.54706,                 1.2792,                0.87265,                0.92763,                0.86961,                0.95803,                  0.875,                0.48306,                0.70544,                 0.8214,             0.00018355,             0.00018355,             0.00018355
                     71,                0.57078,                  1.361,                0.87875,                0.86665,                0.90817,                0.95162,                0.87721,                0.47033,                0.71767,                 0.8195,             0.00018135,             0.00018135,             0.00018135
                     72,                0.52611,                 1.3626,                0.88712,                0.90428,                0.89427,                0.95353,                  0.884,                0.45256,                0.70277,                0.81781,             0.00017915,             0.00017915,             0.00017915
                     73,                 0.5076,                 1.3144,                0.84864,                0.91868,                0.89577,                0.95989,                0.89023,                0.44365,                0.67485,                0.81547,             0.00017696,             0.00017696,             0.00017696
                     74,                0.52346,                 1.2256,                 0.8764,                0.91468,                0.91419,                0.96308,                 0.8953,                 0.4362,                0.65552,                0.81151,             0.00017476,             0.00017476,             0.00017476
                     75,                0.57809,                 1.4185,                0.88348,                0.90099,                0.92486,                0.96946,                0.89854,                 0.4351,                0.67269,                0.81137,             0.00017256,             0.00017256,             0.00017256
                     76,                0.58802,                 1.3443,                0.89143,                0.88305,                0.93291,                0.97079,                0.90515,                0.44011,                0.66014,                0.81398,             0.00017036,             0.00017036,             0.00017036
                     77,                0.53814,                 1.3046,                0.88316,                0.91067,                0.93983,                0.97587,                0.90556,                0.43424,                0.64377,                 0.8137,             0.00016817,             0.00016817,             0.00016817
